Materia-Curso,Bloque 1,Bloque 2
T7-A,M2,M3
T7-B,J3,J4
T7-C,M3,X4
T7-D,V3,V4
T7-E,V1,V2
T72-A,J1,
T72-B,L3,
T72-C,V3,
T72-D,J2,
T72-E,J4,
T1-A,L5,V3
T1-B,M4,J1
T1-C,X4,X5
T1-D,X2,J5
T1-E,M5,J2
T1-F,M3,V2
T1-G,L4,X2
T1-H,M3,J4
T1-I,X1,V4
T1-J,X3,J1
T1-K,L2,X1
T1-L,M4,J5
T1-M,L5,M1
T1-N,L1,V1
T1-O,L3,L4
T1-P,L1,L2
T2-A,M4,J5
T2-B,L5,V3
T2-C,J4,V4
T2-D,X4,V5
T2-E,X5,V5
T2-F,X3,J1
T2-G,L1,M1
T2-H,M2,M3
T2-I,M5,V3
T2-J,X5,V4
T2-K,L5,V1
T2-L,M5,X2
T2-M,X3,J5
T2-N,X1,J2
T2-O,J3,J4
T2-P,J1,J2
T2-Q,M4,X4
T2-R,X1,X2
T2-S,M1,V2